Source Entity,Target Entity
18.192.172.30,18.192.172.30
18.192.172.30,a1.vulnweb.com
18.192.172.30,bnc.vulnweb.com
18.192.172.30,br.vulnweb.com
18.192.172.30,community.vulnweb.com
18.192.172.30,cs.vulnweb.com
18.192.172.30,southdakota.vulnweb.com
18.192.172.30,stats.vulnweb.com
18.192.172.30,tesphp.vulnweb.com
18.192.172.30,testaxp.vulnweb.com
18.192.172.30,vj7cpljeraclzt7lvyxg.vulnweb.com
18.192.172.30,vulnweb.com
18.192.172.30,www5.vulnweb.com
http://testphp.vulnweb.com/,176.28.50.165
http://testphp.vulnweb.com/,18.192.172.30
http://testphp.vulnweb.com/,44.228.249.3
http://testphp.vulnweb.com/,Adobe Dreamweaver
http://testphp.vulnweb.com/,blog.mindedsecurity.com
http://testphp.vulnweb.com/,Cart Functionality
http://testphp.vulnweb.com/,Copyright Year 2006
http://testphp.vulnweb.com/,CrUX Top 500k
http://testphp.vulnweb.com/,download.macromedia.com
http://testphp.vulnweb.com/,Home of Acunetix Art
http://testphp.vulnweb.com/,Shockwave Flash Embed
http://testphp.vulnweb.com/,Ubuntu
http://testphp.vulnweb.com/,wvs@acunetix.com
http://testphp.vulnweb.com/,www.acunetix.com
http://testphp.vulnweb.com/,www.eclectasy.com
http://testphp.vulnweb.com/,www.macromedia.com
http://testphp.vulnweb.com/,www.w3.org
